subject,general white matter,general grey matter,general csf,cerebellum,brainstem,thalamus,putamen+pallidum,hippocampus+amygdala
29632_anat,0.8245,0.7489,0.7927,0.8818,0.8835,0.8627,0.9183,0.8610
29633_anat,0.8369,0.7655,0.6745,0.8804,0.8643,0.8422,0.9116,0.8676
29634_anat,0.8305,0.7711,0.7907,0.8690,0.8711,0.8617,0.9007,0.8631
29635_anat,0.8629,0.7614,0.8082,0.8902,0.8826,0.8732,0.9130,0.8884
29656_anat,0.8749,0.8178,0.8751,0.8837,0.8933,0.8747,0.9413,0.8815
29657_anat,0.8834,0.8266,0.8768,0.8993,0.9156,0.8862,0.9062,0.9137
29658_anat,0.8820,0.8108,0.7973,0.8838,0.8967,0.8645,0.9392,0.8814
29659_anat,0.8772,0.8109,0.8003,0.9031,0.8913,0.8578,0.9155,0.8793
29660_anat,0.8843,0.8201,0.7839,0.8898,0.8881,0.8682,0.9315,0.8848
29661_anat,0.8773,0.7888,0.8174,0.8580,0.8931,0.8745,0.9309,0.8917
29662_anat,0.8682,0.7783,0.9038,0.9006,0.9100,0.8901,0.9052,0.8786
29664_anat,0.8914,0.8143,0.7250,0.8875,0.8999,0.8507,0.9126,0.9102
29665_anat,0.8657,0.8123,0.7993,0.8927,0.8965,0.8546,0.9122,0.8781
29666_anat,0.8978,0.8114,0.7406,0.8938,0.8834,0.8649,0.9321,0.8981
29667_anat,0.8976,0.7812,0.8037,0.8882,0.8786,0.8704,0.9204,0.8955
29668_anat,0.8679,0.7894,0.8472,0.9137,0.8737,0.8507,0.9044,0.8816
29669_anat,0.8787,0.7963,0.8906,0.9173,0.9221,0.8903,0.9019,0.8875
29670_anat,0.8580,0.7886,0.7676,0.8880,0.8961,0.8415,0.8979,0.8615
29671_anat,0.8765,0.7892,0.8821,0.9131,0.9052,0.8726,0.8986,0.8695
29674_anat,0.8705,0.7855,0.8902,0.9114,0.8943,0.8690,0.9450,0.8829
29675_anat,0.8861,0.7974,0.8404,0.9042,0.8856,0.8765,0.9326,0.8866
29676_anat,0.8697,0.7743,0.8172,0.8901,0.8802,0.8536,0.8984,0.8959
29677_anat,0.8780,0.8144,0.8045,0.9014,0.8873,0.8675,0.9292,0.8942
29678_anat,0.8803,0.8144,0.7968,0.8801,0.8980,0.8447,0.9159,0.8914
29679_anat,0.8827,0.8039,0.7676,0.8671,0.8816,0.8475,0.9263,0.8788
29794_anat,0.8789,0.8278,0.7622,0.8591,0.8887,0.8542,0.9169,0.8883
29795_anat,0.8783,0.7854,0.8362,0.8989,0.9069,0.8805,0.9186,0.8851
29796_anat,0.8784,0.8071,0.8597,0.8826,0.8874,0.8716,0.9017,0.8898
29797_anat,0.8869,0.8176,0.8031,0.8645,0.8685,0.8788,0.9281,0.8863
29798_anat,0.8721,0.7961,0.8632,0.8863,0.8816,0.8762,0.9319,0.8656
29799_anat,0.8780,0.7892,0.9066,0.8932,0.9016,0.8874,0.9257,0.8712
29800_anat,0.8939,0.8086,0.9049,0.8703,0.8953,0.9019,0.9554,0.8941
29997_anat,0.8606,0.7825,0.7445,0.8910,0.8844,0.8590,0.9293,0.8886
29998_anat,0.8498,0.7532,0.7292,0.8953,0.8747,0.8617,0.9175,0.8895
29999_anat,0.8507,0.7752,0.7943,0.8811,0.8594,0.8551,0.9066,0.8702
30000_anat,0.8580,0.7442,0.7819,0.8835,0.8503,0.8800,0.9020,0.8801
30001_anat,0.8261,0.7538,0.7108,0.8655,0.8314,0.8340,0.8910,0.8453
30002_anat,0.8363,0.7734,0.7914,0.8625,0.8576,0.8635,0.9275,0.8418
30003_anat,0.8232,0.7667,0.7138,0.8921,0.8706,0.8293,0.9138,0.8582
30004_anat,0.8650,0.7704,0.7100,0.8666,0.8666,0.8597,0.8961,0.8792
30005_anat,0.8283,0.7609,0.7491,0.8930,0.8723,0.8706,0.9090,0.8727
30006_anat,0.8308,0.7554,0.6947,0.8666,0.8677,0.8367,0.9135,0.8457
30007_anat,0.8380,0.7785,0.7673,0.9018,0.8645,0.8401,0.8992,0.8607
30008_anat,0.8293,0.7634,0.6860,0.8716,0.8652,0.8349,0.8909,0.8527
30009_anat,0.8535,0.7593,0.6636,0.8826,0.8756,0.8454,0.9209,0.8791
30010_anat,0.8486,0.7888,0.7408,0.8629,0.8789,0.8678,0.8909,0.8691
30011_anat,0.8346,0.7581,0.8385,0.8930,0.8841,0.8560,0.9150,0.8671
30012_anat,0.8459,0.7724,0.7320,0.8976,0.8521,0.8438,0.9202,0.8759
30013_anat,0.8398,0.7655,0.7160,0.8922,0.8871,0.8588,0.9480,0.8600
30014_anat,0.8111,0.7359,0.7464,0.8932,0.8644,0.8662,0.8959,0.8566
30015_anat,0.8284,0.7452,0.7070,0.9007,0.8847,0.8599,0.8613,0.8531
30016_anat,0.8517,0.7812,0.7664,0.8852,0.8720,0.8602,0.9029,0.8825
30017_anat,0.8203,0.7510,0.6770,0.8574,0.8467,0.8213,0.9000,0.8548
30018_anat,0.8583,0.7764,0.6963,0.8915,0.8750,0.8578,0.9150,0.8789
30019_anat,0.8538,0.7671,0.7486,0.8843,0.8538,0.8542,0.9160,0.8825
30020_anat,0.8303,0.7543,0.7507,0.8588,0.8581,0.8379,0.8972,0.8574
30021_anat,0.8168,0.7522,0.7451,0.8744,0.8384,0.8437,0.9019,0.8597
30022_anat,0.8558,0.7574,0.7324,0.9014,0.8706,0.8502,0.8997,0.8650
30023_anat,0.8443,0.7740,0.6659,0.8698,0.8614,0.8334,0.9117,0.8674
30024_anat,0.8382,0.7600,0.7388,0.8715,0.8464,0.8520,0.9023,0.8620
30026_anat,0.8500,0.7527,0.8098,0.8734,0.8580,0.8639,0.9205,0.8942
30027_anat,0.8272,0.7364,0.7410,0.8727,0.8524,0.8581,0.9083,0.8535
30028_anat,0.8420,0.7557,0.6858,0.8614,0.8520,0.8396,0.9103,0.8743
30029_anat,0.8248,0.7475,0.7400,0.8614,0.8233,0.8265,0.8970,0.8474
30144_anat,0.8778,0.7774,0.8036,0.8758,0.8897,0.8798,0.9378,0.9181
30146_anat,0.8362,0.7436,0.7702,0.8966,0.8975,0.8813,0.8925,0.8859
30147_anat,0.8464,0.7664,0.8605,0.9184,0.8892,0.8912,0.8999,0.8890
30148_anat,0.8440,0.7556,0.7286,0.9203,0.9074,0.8509,0.8436,0.8633
30149_anat,0.8771,0.7923,0.7687,0.9079,0.8950,0.8548,0.9273,0.9039
30150_anat,0.8681,0.7851,0.8662,0.9034,0.8821,0.8643,0.9170,0.8770
30151_anat,0.8579,0.7634,0.8326,0.9359,0.8877,0.8717,0.8821,0.8618
