subject,general white matter,general grey matter,general csf,cerebellum,brainstem,thalamus,putamen+pallidum,hippocampus+amygdala
28860_anat,0.8001,0.7508,0.7309,0.8588,0.8479,0.8281,0.8915,0.8327
28861_anat,0.8644,0.7853,0.8118,0.8683,0.8555,0.8600,0.9082,0.8734
28862_anat,0.8273,0.7591,0.7789,0.8981,0.8554,0.8628,0.8909,0.8540
28863_anat,0.8181,0.7313,0.8250,0.9047,0.8792,0.8717,0.8733,0.8369
28864_anat,0.8559,0.7688,0.7917,0.8622,0.8510,0.8591,0.8937,0.8562
28865_anat,0.8541,0.7668,0.7778,0.8952,0.8811,0.8647,0.9396,0.8622
28866_anat,0.8724,0.7852,0.7680,0.9088,0.8785,0.8617,0.9406,0.8893
28867_anat,0.8583,0.7769,0.7776,0.9105,0.8829,0.8561,0.9260,0.8611
28868_anat,0.8262,0.7799,0.8540,0.9002,0.8562,0.8612,0.9279,0.8553
28869_anat,0.8256,0.7507,0.6902,0.8867,0.8510,0.8257,0.9290,0.8516
28870_anat,0.8245,0.7621,0.6744,0.8818,0.8517,0.8102,0.8855,0.8620
28871_anat,0.8299,0.7545,0.6740,0.8824,0.8521,0.8442,0.9090,0.8557
28872_anat,0.8162,0.7528,0.9014,0.8596,0.8543,0.8677,0.8759,0.8057
28873_anat,0.8189,0.7520,0.7433,0.8943,0.8887,0.8530,0.9105,0.8583
28874_anat,0.8374,0.7479,0.7394,0.8933,0.8574,0.8571,0.9333,0.8744
28875_anat,0.8168,0.7700,0.6796,0.9038,0.8631,0.8223,0.9147,0.8474
28876_anat,0.8458,0.7370,0.7911,0.8927,0.8700,0.8756,0.8901,0.8595
28877_anat,0.8284,0.7497,0.6789,0.8642,0.8452,0.8298,0.9283,0.8424
28878_anat,0.8406,0.7598,0.7462,0.8762,0.8668,0.8571,0.9074,0.8569
28879_anat,0.8541,0.8101,0.7623,0.8883,0.8834,0.8504,0.9328,0.8660
28880_anat,0.8238,0.7636,0.7280,0.8992,0.8629,0.8624,0.9060,0.8572
28881_anat,0.8506,0.7771,0.6994,0.8741,0.8458,0.8331,0.9135,0.8655
28882_anat,0.8406,0.7648,0.7231,0.9139,0.8727,0.8313,0.8939,0.8643
28883_anat,0.8156,0.7364,0.6936,0.8592,0.8638,0.8285,0.8900,0.8538
28884_anat,0.8476,0.7748,0.8095,0.8810,0.8685,0.8602,0.9142,0.8500
28885_anat,0.8592,0.7878,0.8927,0.8615,0.8509,0.8686,0.8849,0.8685
28886_anat,0.8624,0.7941,0.8512,0.9008,0.8906,0.8659,0.9176,0.8722
28887_anat,0.7985,0.7764,0.8929,0.8548,0.8574,0.8339,0.8893,0.8133
28888_anat,0.8545,0.7731,0.7797,0.8864,0.8672,0.8545,0.9118,0.8751
28889_anat,0.8486,0.7701,0.7417,0.8685,0.8426,0.8589,0.8995,0.8593
28890_anat,0.8194,0.7702,0.7426,0.9074,0.8711,0.8412,0.8740,0.8574
28891_anat,0.8511,0.7660,0.6802,0.9078,0.8517,0.8451,0.9233,0.8796
28892_anat,0.8544,0.7708,0.7444,0.8991,0.8876,0.8487,0.9144,0.8730
28893_anat,0.8540,0.7732,0.7843,0.8979,0.8566,0.8590,0.9058,0.8773
28894_anat,0.8243,0.7611,0.6877,0.8534,0.8406,0.8152,0.9054,0.8602
28895_anat,0.8299,0.7323,0.6959,0.8965,0.8593,0.8434,0.9060,0.8628
28896_anat,0.8398,0.7692,0.7021,0.8939,0.8615,0.8479,0.9420,0.8719
28897_anat,0.8404,0.7520,0.7085,0.8783,0.8540,0.8472,0.9108,0.8739
28898_anat,0.8161,0.7547,0.6901,0.8689,0.8357,0.8184,0.9080,0.8386
28899_anat,0.8306,0.7781,0.6744,0.9008,0.8867,0.8324,0.9225,0.8661
28900_anat,0.8402,0.7722,0.7293,0.8989,0.8717,0.8358,0.9231,0.8546
28901_anat,0.8292,0.7496,0.7287,0.8766,0.8814,0.8396,0.9184,0.8554
28902_anat,0.8507,0.7593,0.7596,0.8884,0.8685,0.8433,0.9068,0.8576
28903_anat,0.8202,0.7603,0.6524,0.8803,0.8559,0.8247,0.9106,0.8447
28904_anat,0.8327,0.7517,0.8567,0.8912,0.8769,0.8735,0.8973,0.8614
28905_anat,0.8357,0.7808,0.6830,0.8850,0.8632,0.8345,0.9096,0.8438
28906_anat,0.8502,0.7511,0.6872,0.9103,0.8625,0.8433,0.9038,0.8689
28907_anat,0.8432,0.7748,0.8389,0.8557,0.8812,0.8677,0.9220,0.8758
28908_anat,0.8463,0.7364,0.7684,0.8918,0.8445,0.8526,0.8944,0.8646
28909_anat,0.8226,0.7687,0.7790,0.8853,0.8549,0.8474,0.8935,0.8626
29006_anat,0.8624,0.7574,0.8766,0.8818,0.8568,0.8979,0.9099,0.8691
29007_anat,0.8670,0.7595,0.7779,0.8834,0.8639,0.8667,0.9122,0.8650
29008_anat,0.8682,0.7831,0.8821,0.8922,0.8938,0.8925,0.8989,0.8896
29009_anat,0.8610,0.7644,0.8528,0.8810,0.8733,0.8771,0.9054,0.8839
29010_anat,0.8686,0.7892,0.8626,0.9019,0.9043,0.8849,0.8974,0.9007
29011_anat,0.8752,0.7800,0.8299,0.8714,0.8895,0.8742,0.9261,0.8919
29012_anat,0.8531,0.7571,0.8396,0.8685,0.8676,0.8803,0.8847,0.8623
29013_anat,0.8654,0.7674,0.8845,0.8974,0.8700,0.8919,0.8722,0.8590
29014_anat,0.8467,0.7520,0.8838,0.8823,0.8957,0.8696,0.8634,0.8599
29015_anat,0.8780,0.7847,0.8302,0.9220,0.9192,0.8676,0.9214,0.8900
29016_anat,0.8831,0.7917,0.7984,0.9033,0.9180,0.8687,0.9273,0.9067
29017_anat,0.8446,0.7256,0.9488,0.8538,0.8548,0.8576,0.8793,0.8537
29018_anat,0.8283,0.7525,0.8165,0.9282,0.8995,0.8495,0.8660,0.8680
29019_anat,0.8755,0.7743,0.7924,0.8542,0.8828,0.8554,0.9348,0.8967
29020_anat,0.8723,0.7996,0.8360,0.9124,0.9171,0.8808,0.9213,0.8968
29021_anat,0.8730,0.7587,0.9109,0.8848,0.8573,0.8948,0.8858,0.8650
29022_anat,0.8548,0.7782,0.8048,0.9023,0.9029,0.8672,0.9159,0.8952
29023_anat,0.7784,0.7012,0.8221,0.9564,0.8677,0.7995,0.8193,0.8215
29024_anat,0.8583,0.7556,0.8776,0.9178,0.8889,0.8579,0.8705,0.8524
29025_anat,0.8694,0.7768,0.9042,0.8998,0.9004,0.8782,0.9078,0.8809
29026_anat,0.8733,0.8028,0.8858,0.8840,0.9083,0.8825,0.9340,0.8972
29027_anat,0.8749,0.7918,0.8579,0.8887,0.9122,0.8783,0.9195,0.8988
29028_anat,0.8749,0.8004,0.8069,0.8563,0.8665,0.8800,0.9454,0.8866
29029_anat,0.8655,0.7933,0.7684,0.8634,0.8623,0.8633,0.9396,0.8806
29030_anat,0.8576,0.8026,0.8383,0.8874,0.9065,0.8728,0.9386,0.8893
29031_anat,0.8829,0.8101,0.8532,0.8916,0.8937,0.8751,0.9103,0.8831
29032_anat,0.8844,0.7964,0.7479,0.8696,0.8961,0.8614,0.9354,0.9232
29033_anat,0.8786,0.7905,0.8270,0.9035,0.8959,0.8606,0.9231,0.8960
29034_anat,0.8915,0.8157,0.7417,0.8731,0.9105,0.8591,0.9306,0.9125
29035_anat,0.8613,0.7930,0.8288,0.9116,0.8927,0.8784,0.8788,0.8669
29036_anat,0.8426,0.7595,0.8310,0.9107,0.8778,0.8553,0.8720,0.8542
29037_anat,0.8181,0.7625,0.8526,0.9087,0.8818,0.8640,0.8483,0.8569
29038_anat,0.8537,0.7955,0.8597,0.9678,0.9311,0.8482,0.8500,0.8502
29039_anat,0.8349,0.7977,0.6789,0.9386,0.8697,0.8428,0.8686,0.8609
29040_anat,0.8782,0.7964,0.8629,0.8782,0.8939,0.8952,0.9545,0.9115
29041_anat,0.8832,0.7905,0.8885,0.8861,0.8808,0.8854,0.9202,0.8974
29042_anat,0.8801,0.7831,0.7355,0.9127,0.8815,0.8734,0.9416,0.8833
29043_anat,0.8888,0.7868,0.8127,0.8966,0.8849,0.8767,0.9467,0.9029
29044_anat,0.8466,0.7887,0.8059,0.9095,0.8980,0.8836,0.9048,0.8784
29045_anat,0.8538,0.7554,0.8406,0.8749,0.8719,0.8614,0.9327,0.8919
29046_anat,0.8466,0.7782,0.7191,0.9207,0.8532,0.8524,0.9013,0.8402
29047_anat,0.8568,0.7394,0.7830,0.9066,0.8611,0.8533,0.8847,0.8562
29048_anat,0.8597,0.7720,0.8291,0.8958,0.9044,0.8946,0.8861,0.9002
29049_anat,0.8765,0.7924,0.7447,0.9022,0.9125,0.8846,0.9404,0.9173
29050_anat,0.8450,0.7772,0.7983,0.9027,0.8817,0.8700,0.8752,0.8723
29051_anat,0.8790,0.8067,0.7315,0.8685,0.8865,0.8602,0.9373,0.8989
29052_anat,0.8801,0.7899,0.8829,0.8890,0.8941,0.8801,0.9180,0.8918
29053_anat,0.8961,0.8170,0.8534,0.9004,0.9009,0.8808,0.9343,0.8990
29054_anat,0.9017,0.8129,0.7722,0.8949,0.8986,0.8949,0.9464,0.9170
29055_anat,0.8663,0.7905,0.8587,0.8962,0.8964,0.8916,0.9333,0.8856
29056_anat,0.8679,0.8057,0.8561,0.9117,0.9135,0.8718,0.9484,0.8910
29057_anat,0.8653,0.7858,0.7286,0.8906,0.9039,0.8620,0.9320,0.8896
29058_anat,0.8836,0.7996,0.8072,0.8895,0.8907,0.8541,0.9131,0.8954
29059_anat,0.8744,0.8044,0.7656,0.8948,0.8990,0.8611,0.9277,0.8882
29060_anat,0.8626,0.7983,0.7695,0.8953,0.9067,0.8603,0.9356,0.9019
29062_anat,0.6565,0.5771,0.4898,0.8080,0.8293,0.7049,0.7164,0.7684
29063_anat,0.8754,0.7970,0.6984,0.8718,0.8671,0.8438,0.9255,0.8796
29064_anat,0.8726,0.8078,0.7933,0.8797,0.8959,0.8751,0.9447,0.8931
29065_anat,0.8687,0.7951,0.7846,0.8768,0.8802,0.8590,0.9378,0.8976
29066_anat,0.9045,0.8057,0.7849,0.8834,0.8762,0.8503,0.9266,0.9043
29067_anat,0.7831,0.7187,0.5150,0.8599,0.8464,0.5406,0.7718,0.8032
29068_anat,0.8910,0.7995,0.7242,0.8813,0.8722,0.8675,0.9584,0.9155
29069_anat,0.8691,0.7933,0.7706,0.8525,0.8500,0.8381,0.9220,0.8674
29070_anat,0.8855,0.8048,0.8496,0.8590,0.9003,0.8887,0.9332,0.8984
29071_anat,0.8748,0.8039,0.7589,0.8762,0.8871,0.8604,0.9286,0.8819
